Όνομα                         | Email                                | Κωδικός (Plaintext)
-----------------------------|--------------------------------------|----------------------
Βαλάντω Μπακοστεργίου        | valanto.mpakostergioy@mail.gr        | uhpFXj
Πραξιτέλης Κωτσιονοπούλου    | praxitelis.kotsionopoyloy@mail.gr    | uhpFXj
Μαγδαληνή Ταμιωλάκης         | magdalini.tamiolakis@mail.gr         | uhpFXj
Ελευθέριος Γκούβελος         | eleytherios.gkoyvelos@mail.gr        | uhpFXj
Αριστείδης Αβραμίδου         | aristeidis.avramidoy@mail.gr         | uhpFXj
Θεοδότη Τσώνης               | theodoti.tsonis@mail.gr              | uhpFXj
Χρυσή Θεοδωρόπουλος          | chrysi.theodoropoylos@mail.gr        | uhpFXj
Ρηγούλα Παπαγιάννης          | rigoyla.papagiannis@mail.gr          | uhpFXj
Διογένης Σαμαράς             | diogenis.samaras@mail.gr             | uhpFXj
Γαλήνη Λαγοπάτης             | galini.lagopatis@mail.gr             | uhpFXj



